Business,Category,City,State,Priority,Digital_gap_signal,Source
Koite Grill,Restaurant (Korean),Chantilly,VA,B (secondary),Limited online presence reported (verify website/ordering),https://www.yelp.com/biz/koite-grill-chantilly
Tivoli Gourmet-Deli,Deli/Cafe,Arlington,VA,B (secondary),Local spot; verify modern site/online ordering,https://www.yelp.com/biz/tivoli-gourmet-deli-arlington
Hinata Sushi Carry Out,Restaurant (Sushi),Bethesda,MD,B (secondary),Verify online ordering + reservation/queue,https://www.yelp.com/biz/hinata-sushi-carry-out-bethesda
JC Crab House,Restaurant (Seafood),Silver Spring,MD,B (secondary),Verify online ordering + automated waitlist,https://www.yelp.com/biz/jc-crab-house-silver-spring
Jalal Barbering & Hairstyling,Barber,Silver Spring,MD,B (secondary),Verify online booking + review-to-appointment funnel,https://www.yelp.com/biz/jalal-barbering-and-hairstyling-silver-spring
Congressional Window & Gutter Cleaning,Home Services (Window/Gutter),Rockville,MD,A,Verify online quote/booking workflow,https://www.yelp.com/biz/congressional-window-and-gutter-cleaning-rockville
Free State Framing,Home Services (Framing/Carpentry),Lothian,MD,A,Verify website + lead capture,https://www.yelp.com/biz/free-state-framing-lothian
Pearson Plumbing and Heating,Home Services (Plumbing/HVAC),Fairfax,VA,A,Review mentions 'no website' / weak digital footprint,https://www.yelp.com/biz/pearson-plumbing-and-heating-fairfax
Alexandria Cleaners,Local Services (Dry Cleaning),Alexandria,VA,A,Verify online pickup/delivery scheduling,https://www.yelp.com/biz/alexandria-cleaners-alexandria
Best Barber Shop,Barber,Alexandria,VA,B (secondary),Verify online booking + reminder automation,https://www.yelp.com/biz/best-barber-shop-alexandria
Ameri-Tech Auto Repair,Auto Repair,Hyattsville,MD,A,Verify service request intake + SMS updates,https://www.yelp.com/biz/ameri-tech-auto-repair-hyattsville
Craig's Lawn Care,Home Services (Lawn Care),Fairfax Station,VA,A,Review mentions 'no website',https://www.yelp.com/biz/craigs-lawn-care-fairfax-station
"Alan J Pollack, MD",Medical (Physician),Alexandria,VA,A,Review mentions 'NO WEBSITE!',https://www.yelp.com/biz/alan-j-pollack-md-alexandria
Alex's Salon and Day Spa,Beauty/Spa (Med-spa adjacent),Alexandria,VA,A,Forum note about missing services/pricing (optimize conversion),https://www.yelp.com/biz/alexs-salon-and-day-spa-alexandria
Capitol Snow,Dessert Shop,Alexandria,VA,B (secondary),Verify online menu/ordering,https://www.yelp.com/biz/capitol-snow-alexandria
The Blue House (Kitchen retail),Retail (Kitchenware),Bethesda,MD,B (secondary),Verify ecommerce / appointment / catalog,https://www.yelp.com/biz/the-blue-house-bethesda
Hoang Viet Restaurant,Restaurant (Vietnamese),Falls Church,VA,B (secondary),Verify online ordering + reviews→reservation funnel,https://www.yelp.com/biz/hoang-viet-restaurant-falls-church-2
Wright Away Refuse,Home Services (Waste/Hauling),Clarksburg,MD,A,Verify online signup + customer portal,https://www.yelp.com/biz/wright-away-refuse-clarksburg-3
Best Home Appliances,Retail (Appliances),Manassas,VA,A,Verify inventory listing + lead capture,https://www.yelp.com/biz/best-home-appliances-manassas
Peaco Appliance Service,Home Services (Appliance Repair),Falls Church,VA,A,Verify online booking + automated dispatch,https://www.yelp.com/biz/peaco-appliance-service-falls-church
Sully Cafe,Cafe/Restaurant,Chantilly,VA,B (secondary),Review mentions needs a 'face lift' (conversion + brand),https://www.yelp.com/biz/sully-cafe-chantilly
L A Nails of Herndon Inc,Beauty (Nail Salon),Herndon,VA,B (secondary),Verify booking + reminders + review automation,https://www.yelp.com/biz/l-a-nails-of-herndon-inc-herndon
Tantastic,Services (Tanning),Manassas,VA,B (secondary),Verify online booking + offers,https://www.yelp.com/biz/tantastic-manassas
McLean Trash Service,Home Services (Waste/Hauling),McLean,VA,A,Verify online signup + billing portal,https://www.yelp.com/biz/mclean-trash-service-mc-lean
Latino's Auto Repair,Auto Repair,Woodbridge,VA,A,Verify online estimates + SMS updates,https://www.yelp.com/biz/latinos-auto-repair-woodbridge
"Eugene W Gregory, DDS",Dental,Falls Church,VA,A,Review mentions 'no website',https://www.yelp.com/biz/eugene-w-gregory-dds-falls-church
Tidewater Dental Center,Dental,Norfolk,VA,A,Review mentions 'No website to contact...',https://www.yelp.com/biz/tidewater-dental-center-norfolk
Friendship Endodontics,Dental (Endodontist),Washington,DC,A,Review mentions dentists with no/poor website (optimize),https://www.yelp.com/biz/friendship-endodontics-washington-4
