Business Name,Address,Phone Number,Business Type/Category,Contact Email or Owner's Name
Bel Air Shoe Repair,"203 Baltimore Pike, Bel Air, MD 21014",(443) 640-4303,Shoe Repair Shop,N/A
Clarke's Express Shoe Repair,"23 South Main Street, Burns Alley REAR, Bel Air, MD 21014",(410) 836-8316,Shoe Repair Shop,info@clarkesshoerepair.com
Jimmy's Floors,N/A (Need to call for number),N/A (Need to call for number),Hardwood Flooring Contractor,Jimmy (Owner)
Bards Alley Bookshop,"110 Church St NW Vienna, VA 22180",571-459-2653,Bookstore/Wine Bar,"info@bardsalley.com, Jen Morrow (Owner)"
Hockessin BookShelf,"7179 Lancaster Pike, Hockessin, Delaware 19707",(302) 235-7665,Bookstore,N/A (Owner: Jen Morrow - from reviews)
Scout Cafe,"2316 Baynard Blvd, Wilmington, DE 19802",(302) 524-4223,Coffee Shop,N/A
Super Dry Cleaners,"1945 Pulaski Hwy, Bear, DE 19701",(302) 834-3006,Dry Cleaner,N/A
Professional Tailor Shop,"939 S Governors Ave, Dover, DE 19904",(302) 674-2652,Tailor,N/A
the Cake Sisters,"88 Clinton St, Delaware City, DE 19706",(302) 838-1958,Bakery,N/A
The Zeppelin and The Unicorn Antique Shop,"400 Silverside Rd, Wilmington, DE 19809",(302) 792-0555,Antique Shop,N/A
Paws and People too,"4390 Summit Bridge Rd Suite 4, Middletown, DE 19709",(302) 376-8234,Pet Grooming,N/A
Scruffy To Fluffy Dog and Cat Grooming,"17 Village Square, Smyrna, DE 19977",(302) 653-7297,Pet Grooming,N/A
My Doggy's Mobile Pet Grooming,"1 Glenwood Ave, Smyrna, DE 19977",(302) 653-9663,Mobile Pet Grooming,N/A
The Valley Grill,"50 Glenbrook Drive, Middletown, MD 21769",N/A (Need to find),Restaurant,N/A
LDS Lee Delauter & Sons,"201 S. Church Street, Middletown, MD 21769",(301) 371-8854,Convenience Store,N/A
Fountaindale Auto Center Inc.,"19 East Green Street, Middletown, MD 21769",(301) 371-5080,Auto Repair,N/A
Middlepoint Property Management,"2903 Bidle Road, Middletown, MD 21769",(240) 422-9237,Property Management,N/A
Danielle Rae Bryant,"205 N. Pointe Terrace, Middletown, MD 21769",(301) 514-2380,Tutor (English Literature and Writing),rae@raebryant.com
Thorne Appraisal Services,"100 Broad Street, Middletown, MD 21769",(301) 371-0305,Appraisal Services,thorneappraisals@msn.com
Cherokee Fire Protection LLC.,"14 Larch Lane, Middletown, MD 21769",(301) 371-7887,Environmental Engineers/Fire Protection,ted.edelmann@cherokeefireprotection.com
Hometown Gifts,"1-A West Main Street, Middletown, MD 21769",(301) 371-5561,Gifts/Retail,N/A
Hazel I. La Coste Senior Fitness Instructor,"3906 Valley View Road, Middletown, MD 21769",(301) 371-7206,Fitness/Weight Loss,hazel_lacoste3906@comcast.net
Thompson Harman Funeral Home,"31 E. Main Street, Middletown, MD 21769",(301) 371-6070,Funeral Home,tim.harman@harmanfunerals.com
Classic Barbershop,"205 S. Church St. Ste. 207-B, Middletown, MD 21769",(240) 674-6747,Hair Care (Barbershop),N/A
Middletown Valley Women's Health LLC,"4253 Old National Pike, Suite 2, Middletown, MD 21769",(301) 371-9999,Health Care Practice,N/A
Advanced Service Air Conditioning & Heating,"Mountain Church Road, Middletown, MD 21769",(301) 371-8807,Heating & Air Conditioning,Ralph@advancedserviceac.com
Tricia Strite Consultant,"7321 Old Middletown Road, Middletown, MD 21769",N/A (Need to find),Kitchen/Catalog/Fundraisers,N/A
The Lawn Ranger Mowing and Landscaping LLC,"7106 Feldspar Ct, Middletown, MD 21769",(301) 371-5231,Lawn Care/Snow Removal/Lawn Mower Repair,lawnranger01@comcast.net
Paul Jorgensen,"215 W. Main Street, Middletown, MD 21769",(301) 293-6822,Lawyer,N/A
Kyawa Communications LLC,"P.O. Box 449, Middletown, MD 21769",(301) 371-3262,Low Voltage Cabling & Networking,kearle@kyawacomm.com
South Mountain Counseling Services,"16 Walnut Street, Middletown, MD 21769",(301) 371-3707,Mental Health Services,N/A
Mlend Home Loans Made Fast & Easy,"8803 Baltimore National Pike, Middletown, MD 21769",(301) 371-8850,Mortgage Consultant/Services,N/A
All-Shred Inc.,"202 S. Jefferson Street, Middletown, MD 21769",(301) 874-1480,Paper Shredding,N/A
For Pete's Sake Natural Nutrition for Pets,"7728 Marker Road, Middletown, MD 21769",(301) 371-7729,Pet Food,N/A
Middletown Pet Sitting Service,"P.O. Box 283, Middletown, MD 21769",(240) 397-9724,Pet Care (Pet Sitting),N/A
Kike Barber,"217 Albemarle St, Baltimore, MD 21202",N/A (Need to find),Barber Shop,N/A
Joliver Barber,"1017 Cathedral St, Baltimore, MD 21201",N/A (Need to find),Barber Shop,N/A
Mitch's Mo Better Chicken,N/A (catering service),N/A (Need to find),Catering,N/A
Honeybee Kitchen and Market,N/A (Need to find),N/A (Need to find),Restaurant/Market,N/A
The Dessert Kitchen,N/A (Need to find),N/A (Need to find),Bakery/Dessert Shop,N/A
Dominican Cafe,N/A (Need to find),N/A (Need to find),Restaurant/Cafe,N/A
