Business Name,Website URL,Address,Phone Number,Business Type/Category,Website Issues,Contact Email or Owner's Name
Ohio Landscaping Lawn Care Co.,https://www.ohiolandscapinglawncare.com/,"Ohio (specific location not visible)",Need to find,Lawn Care Contractor,"Very outdated design (appears to be from early 2000s), Poor image optimization and loading, Basic HTML/CSS design with minimal functionality, Limited mobile optimization, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Dated visual appearance, Poor user experience",Need to find
Greenleaf Landscaping Inc.,https://www.greenleaflandscapeinc.com/home/,"Specific location not visible",Need to find,Landscaping Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Wharton Roofing,https://wharton-roofing.com/,"Specific location not visible",Need to find,Roofing Contractor,"Very basic website design, Poor image optimization and loading, Minimal content structure, Basic typography and layout, Limited mobile optimization, No modern web design elements, Simple navigation, Basic contact information display, Needs better SEO optimization, Dated visual appearance",Need to find
American Plumbing Contractors,https://americanplumbingcontractors.com/,"Specific location not visible",Need to find,Plumbing Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Tender Lawn Care,https://mytenderlawncare.com/,"Specific location not visible",Need to find,Lawn Care Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
MJS Landscaping Services,https://www.mjslandscapingservices.com/,"Specific location not visible",Need to find,Landscaping Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Skywalker Roofing,https://skywalkerroofingnc.com/,"North Carolina",Need to find,Roofing Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Hetter Heating & Cooling,https://www.hetterheating.com/,"Specific location not visible",Need to find,HVAC Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Johns Plumbing Inc,https://www.johnsplumbinginc.com/,"Specific location not visible",Need to find,Plumbing Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Gardens of Babylon Landscapes,https://gardensofbabylon.com/,"Specific location not visible",Need to find,Landscaping Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Lewis Concrete Contractors,https://lewisconcretecontractors.com/,"Specific location not visible",Need to find,Concrete Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Meiners Electric,http://meinerselectric.com/,"Louisville, KY (serves 100 mile radius from Greater Louisville Area)",Need to find,Electrical Contractor,"Very outdated design (appears to be from early 2010s), Poor image optimization and loading, Basic WordPress theme with minimal customization, Limited mobile optimization, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Dated visual appearance, Poor user experience",Tim Meiners (President)
Kennedy Painting,https://www.stlouishousepainting.com/,"St. Louis, MO",Need to find,Painting Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Sean Kennedy (Owner/Founder)
Jim's Tree Service Inc,https://www.jimstreeservicear.com/,"Central Arkansas area (Little Rock, Hot Springs)",Need to find,Tree Service,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
American Fence Company Inc.,https://www.americanfenceok.com/,Oklahoma,Need to find,Fencing Contractor,"Very basic website design, Poor image optimization (using hibuwebsites.com CDN), Minimal content structure, Basic typography and layout, Limited mobile optimization, No modern web design elements, Simple navigation, Basic contact information display, Needs better SEO optimization, Dated visual appearance",Need to find
Kwiatkowski Masonry,https://www.kmasonry.com/,"Northwest Indiana, Chicago Metropolitan area",Need to find,Masonry Contractor,"Basic Squarespace template with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
AAA Septic Systems,https://aaasepticsystems.com/,"4030 MS-471, Brandon, MS 39047",(601) 829-3444,Septic Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design, Repetitive content structure",Need to find
Chris' Paving LLC,https://www.chrispaving.com/,"New Orleans, LA",Need to find,Paving Contractor,"Very basic website design, Minimal content structure, Basic typography and layout, Limited mobile optimization, No modern web design elements, Simple navigation, Basic contact information display, Needs better SEO optimization, Dated visual appearance",Need to find
Legacy Decks,https://www.legacydecks.com/,"Greenville, SC",(864) 729-4444,Deck Builder/Outdoor Living,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Grunit Pool Design & Construction Services,https://www.grunit.com/,"4855 Distribution Ct. Unit 2 Orlando, FL 32822",+1 (888) 390-0194,Pool Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",info@grunit.com
Arizona Irrigation Company,https://azirrigationco.com/,"Phoenix and Scottsdale, Arizona",(602) 955-7440,Irrigation Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Tim (Owner)
All Texas Foundation Repair,http://www.alltexasfoundationrepair.com/,"Texas (specific location not visible)",Need to find,Foundation Repair Contractor,"Extremely basic website design, Very minimal content, Poor navigation structure, No modern web design elements, Limited mobile optimization, Basic contact information only, No online features or modern functionality, Minimal SEO optimization, Very simple layout and typography",Need to find
Best Window Company of Virginia,https://bestwindowvirginia.com/,"Richmond, Virginia",Need to find,Window Contractor,"Basic website design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Dan's Siding,https://www.danssiding.com/,"Eastern PA and NJ (Lehigh Valley, Poconos)",610-761-2306,Siding Contractor,"Very outdated design (appears to be from early 2000s), Poor image optimization and loading, Basic HTML/CSS design with minimal functionality, Limited mobile optimization, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Dated visual appearance, Poor user experience",Need to find
Next Day Gutters,https://nextdaygutters.com/,"Maryland, Virginia, and North Carolina",Need to find,Gutter Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Iowa Insulation Inc,https://www.iowainsulation.com/,"Davenport, IA (serves 34 states)",Need to find,Insulation Contractor,"Very basic website design, Poor image optimization (using hibuwebsites.com CDN), Minimal content structure, Basic typography and layout, Limited mobile optimization, No modern web design elements, Simple navigation, Basic contact information display, Needs better SEO optimization, Dated visual appearance",Need to find
Standard Water Control,https://standardwater.com/,"Minneapolis, MN & Western Wisconsin",763-537-4849,Waterproofing Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Service@StandardWater.com
Wisconsin Chimney Technicians,https://www.wisconsinchimney.com/,"Southeastern Wisconsin (New Berlin, West Bend, Cedarburg, etc.)",(262) 443-5933,Chimney Contractor,"Basic website design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Georgia Pressure Washers and Roof Cleaning,https://gapressurewashers.com/,"Duluth, Georgia",Need to find,Pressure Washing Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Alabama's Fencing,https://www.alabamasfencing.com/,"Huntsville, AL (Madison area)",(256) 364-5035,Fencing Contractor,"Very basic website design, Poor image optimization (using hibuwebsites.com CDN), Minimal content structure, Basic typography and layout, Limited mobile optimization, No modern web design elements, Simple navigation, Basic contact information display, Needs better SEO optimization, Dated visual appearance",Need to find
REI Concrete,http://www.reiconcrete.com/,"Nashville, Tennessee (serves Middle TN/Southern KY)",Need to find,Concrete Contractor,"Very basic website design, Poor image optimization and loading, Minimal content structure, Basic typography and layout, Limited mobile optimization, No modern web design elements, Simple navigation, Basic contact information display, Needs better SEO optimization, Dated visual appearance",Need to find
Kentucky Painting Company,https://www.kentuckypaintingcompany.com/,"Kentucky (specific location not visible)",Need to find,Painting Contractor,"Very outdated design (appears to be from early 2000s), Poor image optimization and loading, Basic HTML/CSS design with minimal functionality, Limited mobile optimization, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Dated visual appearance, Poor user experience",Need to find
C & L Flooring,https://candlflooring.com/,"Eastern Indiana, Northern Kentucky and Ohio",Need to find,Flooring Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Service Professor,https://www.serviceprofessor.com/hvac-services/,"West & Southwest Michigan",Need to find,HVAC Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Beary Landscaping,https://bearylandscaping.com/,"Chicagoland area, Illinois",Need to find,Landscaping Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Dovetail Roofing,https://dovetailroofing.com/,"Topeka, KS (Northeast Kansas)",Need to find,Roofing Contractor,"Very basic website design, Poor image optimization and loading, Minimal content structure, Basic typography and layout, Limited mobile optimization, No modern web design elements, Simple navigation, Basic contact information display, Needs better SEO optimization, Dated visual appearance",Aaron Becker (Owner)
Tritz Plumbing Inc,https://www.tritz.com/,"Omaha, NE (Greater Omaha area)",Need to find,Plumbing Contractor,"Basic website design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Piper Electric,https://piperelectric.com/,"Denver, CO (Front Range)",Need to find,Electrical Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",Need to find
Utah Drywall & Repair,https://drywallrepairutah.com/,"Salt Lake, Utah, Davis, Weber Counties",801-406-6350,Drywall Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",info@drywallrepairutah.com
D&L Tile Inc.,https://dandltile.com/,"111 Linden Street, Reno, NV 89502",775-826-7048,Tile Contractor,"Basic WordPress design with minimal customization, Poor mobile optimization, Limited modern web design elements, Basic typography and layout, Simple navigation structure, Minimal SEO optimization, Basic contact forms, Dated visual appearance, Needs better user experience design",sales@dandltile.com

