Business,Category,City,State,Priority,Digital_gap_signal,Source,Phone,Website,Address,Google_Maps_URL,Contact_Page_URL,Email,Enrichment_Status,Enrichment_Notes,Yelp_URL,Search_Query
Koite Grill,Restaurant (Korean),Chantilly,VA,B (secondary),Limited online presence reported (verify website/ordering),https://www.yelp.com/biz/koite-grill-chantilly,,,,,,,,,https://www.yelp.com/biz/koite-grill-chantilly,Koite Grill Chantilly VA
Tivoli Gourmet-Deli,Deli/Cafe,Arlington,VA,B (secondary),Local spot; verify modern site/online ordering,https://www.yelp.com/biz/tivoli-gourmet-deli-arlington,,,,,,,,,https://www.yelp.com/biz/tivoli-gourmet-deli-arlington,Tivoli Gourmet-Deli Arlington VA
Hinata Sushi Carry Out,Restaurant (Sushi),Bethesda,MD,B (secondary),Verify online ordering + reservation/queue,https://www.yelp.com/biz/hinata-sushi-carry-out-bethesda,,,,,,,,,https://www.yelp.com/biz/hinata-sushi-carry-out-bethesda,Hinata Sushi Carry Out Bethesda MD
JC Crab House,Restaurant (Seafood),Silver Spring,MD,B (secondary),Verify online ordering + automated waitlist,https://www.yelp.com/biz/jc-crab-house-silver-spring,,,,,,,,,https://www.yelp.com/biz/jc-crab-house-silver-spring,JC Crab House Silver Spring MD
Jalal Barbering & Hairstyling,Barber,Silver Spring,MD,B (secondary),Verify online booking + review-to-appointment funnel,https://www.yelp.com/biz/jalal-barbering-and-hairstyling-silver-spring,,,,,,,,,https://www.yelp.com/biz/jalal-barbering-and-hairstyling-silver-spring,Jalal Barbering & Hairstyling Silver Spring MD
Congressional Window & Gutter Cleaning,Home Services (Window/Gutter),Rockville,MD,A,Verify online quote/booking workflow,https://www.yelp.com/biz/congressional-window-and-gutter-cleaning-rockville,,,,,,,,,https://www.yelp.com/biz/congressional-window-and-gutter-cleaning-rockville,Congressional Window & Gutter Cleaning Rockville MD
Free State Framing,Home Services (Framing/Carpentry),Lothian,MD,A,Verify website + lead capture,https://www.yelp.com/biz/free-state-framing-lothian,,,,,,,,,https://www.yelp.com/biz/free-state-framing-lothian,Free State Framing Lothian MD
Pearson Plumbing and Heating,Home Services (Plumbing/HVAC),Fairfax,VA,A,Review mentions 'no website' / weak digital footprint,https://www.yelp.com/biz/pearson-plumbing-and-heating-fairfax,,,,,,,,,https://www.yelp.com/biz/pearson-plumbing-and-heating-fairfax,Pearson Plumbing and Heating Fairfax VA
Alexandria Cleaners,Local Services (Dry Cleaning),Alexandria,VA,A,Verify online pickup/delivery scheduling,https://www.yelp.com/biz/alexandria-cleaners-alexandria,,,,,,,,,https://www.yelp.com/biz/alexandria-cleaners-alexandria,Alexandria Cleaners Alexandria VA
Best Barber Shop,Barber,Alexandria,VA,B (secondary),Verify online booking + reminder automation,https://www.yelp.com/biz/best-barber-shop-alexandria,,,,,,,,,https://www.yelp.com/biz/best-barber-shop-alexandria,Best Barber Shop Alexandria VA
Ameri-Tech Auto Repair,Auto Repair,Hyattsville,MD,A,Verify service request intake + SMS updates,https://www.yelp.com/biz/ameri-tech-auto-repair-hyattsville,,,,,,,,,https://www.yelp.com/biz/ameri-tech-auto-repair-hyattsville,Ameri-Tech Auto Repair Hyattsville MD
Craig's Lawn Care,Home Services (Lawn Care),Fairfax Station,VA,A,Review mentions 'no website',https://www.yelp.com/biz/craigs-lawn-care-fairfax-station,,,,,,,,,https://www.yelp.com/biz/craigs-lawn-care-fairfax-station,Craig's Lawn Care Fairfax Station VA
"Alan J Pollack, MD",Medical (Physician),Alexandria,VA,A,Review mentions 'NO WEBSITE!',https://www.yelp.com/biz/alan-j-pollack-md-alexandria,,,,,,,,,https://www.yelp.com/biz/alan-j-pollack-md-alexandria,"Alan J Pollack, MD Alexandria VA"
Alex's Salon and Day Spa,Beauty/Spa (Med-spa adjacent),Alexandria,VA,A,Forum note about missing services/pricing (optimize conversion),https://www.yelp.com/biz/alexs-salon-and-day-spa-alexandria,,,,,,,,,https://www.yelp.com/biz/alexs-salon-and-day-spa-alexandria,Alex's Salon and Day Spa Alexandria VA
Capitol Snow,Dessert Shop,Alexandria,VA,B (secondary),Verify online menu/ordering,https://www.yelp.com/biz/capitol-snow-alexandria,,,,,,,,,https://www.yelp.com/biz/capitol-snow-alexandria,Capitol Snow Alexandria VA
The Blue House (Kitchen retail),Retail (Kitchenware),Bethesda,MD,B (secondary),Verify ecommerce / appointment / catalog,https://www.yelp.com/biz/the-blue-house-bethesda,,,,,,,,,https://www.yelp.com/biz/the-blue-house-bethesda,The Blue House (Kitchen retail) Bethesda MD
Hoang Viet Restaurant,Restaurant (Vietnamese),Falls Church,VA,B (secondary),Verify online ordering + reviews→reservation funnel,https://www.yelp.com/biz/hoang-viet-restaurant-falls-church-2,,,,,,,,,https://www.yelp.com/biz/hoang-viet-restaurant-falls-church-2,Hoang Viet Restaurant Falls Church VA
Wright Away Refuse,Home Services (Waste/Hauling),Clarksburg,MD,A,Verify online signup + customer portal,https://www.yelp.com/biz/wright-away-refuse-clarksburg-3,,,,,,,,,https://www.yelp.com/biz/wright-away-refuse-clarksburg-3,Wright Away Refuse Clarksburg MD
Best Home Appliances,Retail (Appliances),Manassas,VA,A,Verify inventory listing + lead capture,https://www.yelp.com/biz/best-home-appliances-manassas,,,,,,,,,https://www.yelp.com/biz/best-home-appliances-manassas,Best Home Appliances Manassas VA
Peaco Appliance Service,Home Services (Appliance Repair),Falls Church,VA,A,Verify online booking + automated dispatch,https://www.yelp.com/biz/peaco-appliance-service-falls-church,,,,,,,,,https://www.yelp.com/biz/peaco-appliance-service-falls-church,Peaco Appliance Service Falls Church VA
Sully Cafe,Cafe/Restaurant,Chantilly,VA,B (secondary),Review mentions needs a 'face lift' (conversion + brand),https://www.yelp.com/biz/sully-cafe-chantilly,,,,,,,,,https://www.yelp.com/biz/sully-cafe-chantilly,Sully Cafe Chantilly VA
L A Nails of Herndon Inc,Beauty (Nail Salon),Herndon,VA,B (secondary),Verify booking + reminders + review automation,https://www.yelp.com/biz/l-a-nails-of-herndon-inc-herndon,,,,,,,,,https://www.yelp.com/biz/l-a-nails-of-herndon-inc-herndon,L A Nails of Herndon Inc Herndon VA
Tantastic,Services (Tanning),Manassas,VA,B (secondary),Verify online booking + offers,https://www.yelp.com/biz/tantastic-manassas,,,,,,,,,https://www.yelp.com/biz/tantastic-manassas,Tantastic Manassas VA
McLean Trash Service,Home Services (Waste/Hauling),McLean,VA,A,Verify online signup + billing portal,https://www.yelp.com/biz/mclean-trash-service-mc-lean,,,,,,,,,https://www.yelp.com/biz/mclean-trash-service-mc-lean,McLean Trash Service McLean VA
Latino's Auto Repair,Auto Repair,Woodbridge,VA,A,Verify online estimates + SMS updates,https://www.yelp.com/biz/latinos-auto-repair-woodbridge,,,,,,,,,https://www.yelp.com/biz/latinos-auto-repair-woodbridge,Latino's Auto Repair Woodbridge VA
"Eugene W Gregory, DDS",Dental,Falls Church,VA,A,Review mentions 'no website',https://www.yelp.com/biz/eugene-w-gregory-dds-falls-church,,,,,,,,,https://www.yelp.com/biz/eugene-w-gregory-dds-falls-church,"Eugene W Gregory, DDS Falls Church VA"
Tidewater Dental Center,Dental,Norfolk,VA,A,Review mentions 'No website to contact...',https://www.yelp.com/biz/tidewater-dental-center-norfolk,,,,,,,,,https://www.yelp.com/biz/tidewater-dental-center-norfolk,Tidewater Dental Center Norfolk VA
Friendship Endodontics,Dental (Endodontist),Washington,DC,A,Review mentions dentists with no/poor website (optimize),https://www.yelp.com/biz/friendship-endodontics-washington-4,,,,,,,,,https://www.yelp.com/biz/friendship-endodontics-washington-4,Friendship Endodontics Washington DC
Maryland Tax Service,Accounting/Tax,Gaithersburg,MD,A,Verify online intake + document portal + automation,https://www.yelp.com/biz/maryland-tax-service-gaithersburg-3,,,,,,,,,https://www.yelp.com/biz/maryland-tax-service-gaithersburg-3,Maryland Tax Service Gaithersburg MD
CWP Consulting,Accounting/Tax,Washington,DC,A,Review mentions 'They have no website',https://www.yelp.com/biz/cwp-consulting-washington,,,,,,,,,https://www.yelp.com/biz/cwp-consulting-washington,CWP Consulting Washington DC
Tax and Accounting Professional,Accounting/Tax,Chevy Chase,MD,A,Verify online intake + secure client portal,https://www.yelp.com/biz/tax-and-accounting-professional-chevy-chase-2,,,,,,,,,https://www.yelp.com/biz/tax-and-accounting-professional-chevy-chase-2,Tax and Accounting Professional Chevy Chase MD
